date,week,title,learning_objectives
2023-10-31T00:00:00Z,1,Welcome & get ready for the course,Learners can access the Posit Cloud workspace for the course.
2023-10-31T00:00:00Z,1,Welcome & get ready for the course,Learners can use the Element chat to introduce themselves.
2023-10-31T00:00:00Z,1,Welcome & get ready for the course,Learners can open an issue on GitHub and tag the course instructor.
2023-10-31T00:00:00Z,1,Welcome & get ready for the course,Learners can clone a repository from GitHub and use the GitHub PAT to push a commit from their local repository to GitHub.
2023-10-31T00:00:00Z,1,Welcome & get ready for the course,"Learners can identify four components of a Quarto file (YAML, code chunk, R code, markdown)."
2023-11-07T00:00:00Z,2,Data science lifecycle & Exploratory data analysis using visualization,Learners can list the six elements of the data science lifecycle.
2023-11-07T00:00:00Z,2,Data science lifecycle & Exploratory data analysis using visualization,Learners can describe the four main aesthetic mappings that can be used to visualise data using the ggplot2 R Package.
2023-11-07T00:00:00Z,2,Data science lifecycle & Exploratory data analysis using visualization,Learners can control the colour scaling applied to a plot using colour as an aesthetic mapping.
2023-11-07T00:00:00Z,2,Data science lifecycle & Exploratory data analysis using visualization,"Learners can compare three different geoms (bar/col, histogram, point) and their use case."
2023-11-14T00:00:00Z,3,Data transformation with dplyr,Learners can apply ten functions from the dplyr R Package to generate a subset of data for use in a table or plot.
2023-11-21T00:00:00Z,4,Data import & Data organization in spreadsheets,Learners can import data from files in CSV and XLSX format located in sub-directories of the root directory.
2023-11-21T00:00:00Z,4,Data import & Data organization in spreadsheets,Learners can explain the difference between the vector class character and the vector class factor.
2023-11-21T00:00:00Z,4,Data import & Data organization in spreadsheets,"Learners can discuss the difference between unprocessed raw data, processed analysis-ready data, and data underlying a publication."
2023-11-21T00:00:00Z,4,Data import & Data organization in spreadsheets,Learners can apply 12 principles for data organisation in spreadsheets to the layout of a provided dataset.
2023-11-28T00:00:00Z,5,Conditions & Dates & Tables,Learners can apply functions from dplyr to change specific values of a variable in a dataframe.
2023-11-28T00:00:00Z,5,Conditions & Dates & Tables,Learners can apply functions from the lubridate package to convert dates not in ISO 8601 to the date class in R.
2023-11-28T00:00:00Z,5,Conditions & Dates & Tables,Learners can apply functions from knitr and gt package to display and cross-reference tables in HTML output reports.
2023-12-05T00:00:00Z,6,Data types & Vectors & For Loops,Learners can identify different ways of accessing a vector from a dataframe
2023-12-05T00:00:00Z,6,Data types & Vectors & For Loops,Learners can identify a for loop
2023-12-05T00:00:00Z,6,Data types & Vectors & For Loops,Learners can list the four main atomic vector types in R.
2023-12-12T00:00:00Z,7,Pivoting & joining data,Learners can apply functions from the tidyr R Package to transform their data from a wide to a long format and vice versa.
2023-12-12T00:00:00Z,7,Pivoting & joining data,Learners can apply functions from the dplyr R Package to join multiple data sets.
2023-12-12T00:00:00Z,7,Pivoting & joining data,Learners can understand the relevance a data dictionary to describe variable names in a data set.
2023-12-19T00:00:00Z,8,Break,NA
2023-12-19T00:00:00Z,8,Break,NA
2023-12-19T00:00:00Z,8,Break,NA
2024-01-16T00:00:00Z,12,Creating and publishing scholarly articles with Quarto and GitHub pages,Learners can add literature references to Quarto files using the navigation menu of RStudio visual editor.
2024-01-16T00:00:00Z,12,Creating and publishing scholarly articles with Quarto and GitHub pages,Learners can cross-reference figures and tables within an Quarto file.
2024-01-16T00:00:00Z,12,Creating and publishing scholarly articles with Quarto and GitHub pages,Learners can use the GitHub pages service to publish a repository as a standalone website.
2024-01-23T00:00:00Z,13,openwashdata webinar: a data sharing workflow that may please the publishers,Learners can identify where and how to contact the openwashdata team for support with data sharing.
2024-01-23T00:00:00Z,13,openwashdata webinar: a data sharing workflow that may please the publishers,Learners can describe the benefits of sharing data in addition to a scientific article.
2024-01-23T00:00:00Z,13,openwashdata webinar: a data sharing workflow that may please the publishers,Learners can rethink current misconceptions about data sharing.
2024-01-23T00:00:00Z,14,Work on Capstone project,Learners are aware of the responsibility for using AI and critically and evaluating all its output.
2024-01-23T00:00:00Z,14,Work on Capstone project,Learners can explain the basics of AI and its potential for improving software development workflows.
2024-01-30T00:00:00Z,14,Work on Capstone project,Implement strategies to write and debug code using AI-based tools
2024-02-06T00:00:00Z,15,Work on Capstone project,Learners can apply the skills obtained during the course to write a short data analysis project report.
2024-02-13T00:00:00Z,16,Final submission date of Capstone project,NA
2024-02-20T00:00:00Z,17,Graduation party of openwashdata academy,Learners can find resources to continue their data science journey.
2024-02-20T00:00:00Z,17,Graduation party of openwashdata academy,Learners can identify where and how to contact the openwashdata team for support with data sharing.
2024-02-20T00:00:00Z,17,Graduation party of openwashdata academy,Learners can describe the skills and compentencies they have obtained in this course.
